word: ,go, amount: ,416
word: ,until, amount: ,22
word: ,jurong, amount: ,1
word: ,point, amount: ,17
word: ,crazi, amount: ,10
word: ,avail, amount: ,13
word: ,onli, amount: ,131
word: ,in, amount: ,813
word: ,bugi, amount: ,7
word: ,n, amount: ,135
word: ,great, amount: ,101
word: ,world, amount: ,34
word: ,la, amount: ,7
word: ,e, amount: ,78
word: ,buffet, amount: ,2
word: ,cine, amount: ,7
word: ,there, amount: ,210
word: ,got, amount: ,244
word: ,amor, amount: ,1
word: ,wat, amount: ,108
word: ,ok, amount: ,272
word: ,lar, amount: ,38
word: ,joke, amount: ,16
word: ,wif, amount: ,27
word: ,u, amount: ,987
word: ,oni, amount: ,4
word: ,dun, amount: ,55
word: ,say, amount: ,138
word: ,so, amount: ,413
word: ,earli, amount: ,33
word: ,hor, amount: ,2
word: ,c, amount: ,60
word: ,alreadi, amount: ,89
word: ,then, amount: ,223
word: ,nah, amount: ,10
word: ,i, amount: ,2185
word: ,dont, amount: ,268
word: ,think, amount: ,152
word: ,he, amount: ,217
word: ,goe, amount: ,26
word: ,to, amount: ,1554
word: ,usf, amount: ,11
word: ,live, amount: ,27
word: ,around, amount: ,59
word: ,here, amount: ,111
word: ,though, amount: ,26
word: ,even, amount: ,83
word: ,my, amount: ,744
word: ,brother, amount: ,20
word: ,is, amount: ,728
word: ,not, amount: ,411
word: ,like, amount: ,242
word: ,speak, amount: ,25
word: ,with, amount: ,271
word: ,me, amount: ,767
word: ,they, amount: ,109
word: ,treat, amount: ,19
word: ,aid, amount: ,2
word: ,patent, amount: ,1
word: ,as, amount: ,146
word: ,per, amount: ,13
word: ,your, amount: ,474
word: ,request, amount: ,9
word: ,mell, amount: ,6
word: ,oru, amount: ,4
word: ,minnaminungint, amount: ,3
word: ,nurungu, amount: ,3
word: ,vettam, amount: ,3
word: ,ha, amount: ,102
word: ,been, amount: ,87
word: ,set, amount: ,22
word: ,callertun, amount: ,10
word: ,for, amount: ,501
word: ,all, amount: ,241
word: ,caller, amount: ,6
word: ,press, amount: ,10
word: ,copi, amount: ,11
word: ,friend, amount: ,89
word: ,im, amount: ,462
word: ,gon, amount: ,59
word: ,na, amount: ,96
word: ,be, amount: ,369
word: ,home, amount: ,160
word: ,soon, amount: ,56
word: ,and, amount: ,848
word: ,want, amount: ,212
word: ,talk, amount: ,56
word: ,about, amount: ,159
word: ,thi, amount: ,245
word: ,stuff, amount: ,43
word: ,anymor, amount: ,8
word: ,tonight, amount: ,57
word: ,k, amount: ,71
word: ,ive, amount: ,75
word: ,cri, amount: ,7
word: ,enough, amount: ,27
word: ,today, amount: ,133
word: ,search, amount: ,20
word: ,the, amount: ,1119
word: ,right, amount: ,91
word: ,word, amount: ,34
word: ,thank, amount: ,89
word: ,you, amount: ,1837
word: ,breather, amount: ,1
word: ,promis, amount: ,12
word: ,wont, amount: ,51
word: ,take, amount: ,141
word: ,help, amount: ,39
word: ,grant, amount: ,1
word: ,will, amount: ,339
word: ,fulfil, amount: ,1
word: ,have, amount: ,480
word: ,wonder, amount: ,39
word: ,a, amount: ,1055
word: ,bless, amount: ,9
word: ,at, amount: ,377
word: ,time, amount: ,220
word: ,date, amount: ,11
word: ,on, amount: ,391
word: ,sunday, amount: ,8
word: ,oh, amount: ,111
word: ,kim, amount: ,1
word: ,watch, amount: ,69
word: ,eh, amount: ,12
word: ,rememb, amount: ,34
word: ,how, amount: ,299
word: ,spell, amount: ,5
word: ,hi, amount: ,176
word: ,name, amount: ,37
word: ,ye, amount: ,71
word: ,did, amount: ,116
word: ,v, amount: ,47
word: ,naughti, amount: ,7
word: ,make, amount: ,134
word: ,wet, amount: ,3
word: ,fine, amount: ,45
word: ,if, amount: ,347
word: ,that, amount: ,587
word: ,way, amount: ,100
word: ,feel, amount: ,92
word: ,it, amount: ,892
word: ,gota, amount: ,1
word: ,b, amount: ,63
word: ,serious, amount: ,9
word: ,tri, amount: ,75
word: ,month, amount: ,38
word: ,pay, amount: ,38
word: ,first, amount: ,56
word: ,when, amount: ,278
word: ,da, amount: ,132
word: ,stock, amount: ,6
word: ,comin, amount: ,11
word: ,aft, amount: ,19
word: ,finish, amount: ,67
word: ,lunch, amount: ,45
word: ,str, amount: ,3
word: ,down, amount: ,56
word: ,lor, amount: ,160
word: ,ard, amount: ,22
word: ,smth, amount: ,16
word: ,ur, amount: ,240
word: ,ffffffffff, amount: ,1
word: ,alright, amount: ,23
word: ,no, amount: ,275
word: ,can, amount: ,381
word: ,meet, amount: ,117
word: ,up, amount: ,286
word: ,sooner, amount: ,4
word: ,just, amount: ,289
word: ,forc, amount: ,4
word: ,myself, amount: ,10
word: ,eat, amount: ,45
word: ,slice, amount: ,3
word: ,realli, amount: ,85
word: ,hungri, amount: ,12
word: ,tho, amount: ,17
word: ,suck, amount: ,7
word: ,mark, amount: ,9
word: ,get, amount: ,364
word: ,worri, amount: ,41
word: ,know, amount: ,244
word: ,sick, amount: ,10
word: ,turn, amount: ,12
word: ,pizza, amount: ,8
word: ,lol, amount: ,73
word: ,alway, amount: ,56
word: ,convinc, amount: ,4
word: ,catch, amount: ,13
word: ,bu, amount: ,30
word: ,are, amount: ,409
word: ,fri, amount: ,17
word: ,an, amount: ,98
word: ,egg, amount: ,6
word: ,tea, amount: ,6
word: ,mom, amount: ,21
word: ,left, amount: ,29
word: ,over, amount: ,55
word: ,dinner, amount: ,35
word: ,do, amount: ,462
word: ,love, amount: ,234
word: ,back, amount: ,129
word: ,amp, amount: ,82
word: ,were, amount: ,82
word: ,pack, amount: ,4
word: ,car, amount: ,44
word: ,now, amount: ,289
word: ,ill, amount: ,242
word: ,let, amount: ,87
word: ,room, amount: ,38
word: ,ahhh, amount: ,1
word: ,work, amount: ,131
word: ,vagu, amount: ,2
word: ,what, amount: ,275
word: ,doe, amount: ,29
word: ,wait, amount: ,95
word: ,still, amount: ,146
word: ,clear, amount: ,8
word: ,sure, amount: ,77
word: ,sarcast, amount: ,2
word: ,or, amount: ,229
word: ,whi, amount: ,67
word: ,x, amount: ,40
word: ,doesnt, amount: ,28
word: ,us, amount: ,55
word: ,yeah, amount: ,85
word: ,wa, amount: ,225
word: ,apologet, amount: ,1
word: ,had, amount: ,84
word: ,fallen, amount: ,1
word: ,out, amount: ,212
word: ,she, amount: ,159
word: ,actin, amount: ,1
word: ,spoilt, amount: ,1
word: ,child, amount: ,3
word: ,caught, amount: ,3
word: ,till, amount: ,21
word: ,but, amount: ,419
word: ,we, amount: ,297
word: ,too, amount: ,104
word: ,badli, amount: ,1
word: ,cheer, amount: ,12
word: ,tell, amount: ,138
word: ,anyth, amount: ,74
word: ,fear, amount: ,3
word: ,of, amount: ,524
word: ,faint, amount: ,1
word: ,housework, amount: ,1
word: ,quick, amount: ,8
word: ,cuppa, amount: ,1
word: ,yup, amount: ,43
word: ,look, amount: ,60
word: ,msg, amount: ,61
word: ,again, amount: ,62
word: ,xuhui, amount: ,3
word: ,learn, amount: ,6
word: ,nd, amount: ,12
word: ,may, amount: ,39
word: ,her, amount: ,113
word: ,lesson, amount: ,26
word: ,am, amount: ,215
word: ,oop, amount: ,10
word: ,roommat, amount: ,8
word: ,done, amount: ,45
word: ,see, amount: ,152
word: ,letter, amount: ,8
word: ,decid, amount: ,27
word: ,hello, amount: ,47
word: ,saturday, amount: ,9
word: ,text, amount: ,86
word: ,youd, amount: ,8
word: ,tomo, amount: ,17
word: ,invit, amount: ,12
word: ,pl, amount: ,99
word: ,ahead, amount: ,7
word: ,watt, amount: ,1
word: ,weekend, amount: ,27
word: ,abiola, amount: ,11
word: ,forget, amount: ,18
word: ,need, amount: ,175
word: ,crave, amount: ,12
word: ,most, amount: ,26
word: ,sweet, amount: ,35
word: ,arabian, amount: ,1
word: ,steed, amount: ,1
word: ,mmmmmm, amount: ,2
word: ,yummi, amount: ,3
word: ,who, amount: ,71
word: ,hope, amount: ,119
word: ,man, amount: ,44
word: ,well, amount: ,127
word: ,endow, amount: ,1
word: ,ltgt, amount: ,276
word: ,inch, amount: ,6
word: ,callsmessagesmiss, amount: ,3
word: ,call, amount: ,287
word: ,didnt, amount: ,83
word: ,hep, amount: ,1
word: ,immunis, amount: ,1
word: ,nigeria, amount: ,8
word: ,fair, amount: ,3
word: ,tyler, amount: ,6
word: ,cant, amount: ,120
word: ,could, amount: ,53
word: ,mayb, amount: ,42
word: ,ask, amount: ,126
word: ,bit, amount: ,44
word: ,stubborn, amount: ,1
word: ,hospit, amount: ,12
word: ,kept, amount: ,4
word: ,weak, amount: ,7
word: ,sucker, amount: ,2
word: ,saw, amount: ,23
word: ,class, amount: ,45
word: ,gram, amount: ,4
word: ,usual, amount: ,13
word: ,run, amount: ,31
word: ,half, amount: ,25
word: ,eighth, amount: ,2
word: ,smarter, amount: ,1
word: ,almost, amount: ,13
word: ,whole, amount: ,14
word: ,second, amount: ,21
word: ,fyi, amount: ,6
word: ,ride, amount: ,5
word: ,tomorrow, amount: ,80
word: ,morn, amount: ,81
word: ,crash, amount: ,4
word: ,our, amount: ,63
word: ,place, amount: ,60
word: ,wow, amount: ,10
word: ,never, amount: ,43
word: ,realiz, amount: ,6
word: ,embarass, amount: ,5
word: ,by, amount: ,135
word: ,accomod, amount: ,2
word: ,thought, amount: ,47
word: ,sinc, amount: ,25
word: ,best, amount: ,38
word: ,seem, amount: ,16
word: ,happi, amount: ,118
word: ,cave, amount: ,1
word: ,sorri, amount: ,153
word: ,more, amount: ,79
word: ,give, amount: ,105
word: ,offer, amount: ,9
word: ,mallika, amount: ,1
word: ,sherawat, amount: ,1
word: ,yesterday, amount: ,20
word: ,find, amount: ,52
word: ,lturlgt, amount: ,3
word: ,later, amount: ,134
word: ,where, amount: ,106
word: ,reach, amount: ,46
word: ,yesgauti, amount: ,1
word: ,sehwag, amount: ,1
word: ,odi, amount: ,2
word: ,seri, amount: ,4
word: ,pick, amount: ,85
word: ,burger, amount: ,1
word: ,yourself, amount: ,21
word: ,move, amount: ,18
word: ,pain, amount: ,28
word: ,kill, amount: ,7
word: ,good, amount: ,223
word: ,girl, amount: ,40
word: ,situat, amount: ,10
word: ,seeker, amount: ,1
word: ,part, amount: ,22
word: ,check, amount: ,51
word: ,iq, amount: ,4
word: ,took, amount: ,19
word: ,forev, amount: ,9
word: ,come, amount: ,292
word: ,doubl, amount: ,5
word: ,hair, amount: ,24
word: ,dresser, amount: ,3
word: ,said, amount: ,86
word: ,wun, amount: ,7
word: ,cut, amount: ,15
word: ,short, amount: ,10
word: ,nice, amount: ,57
word: ,song, amount: ,13
word: ,dedic, amount: ,4
word: ,day, amount: ,219
word: ,which, amount: ,52
word: ,send, amount: ,135
word: ,valuabl, amount: ,4
word: ,frnd, amount: ,24
word: ,rpli, amount: ,5
word: ,plane, amount: ,5
word: ,end, amount: ,41
word: ,wah, amount: ,4
word: ,lucki, amount: ,9
word: ,save, amount: ,13
word: ,money, amount: ,53
word: ,hee, amount: ,13
word: ,babe, amount: ,74
word: ,wan, amount: ,81
word: ,someth, amount: ,69
word: ,xx, amount: ,7
word: ,kkwhere, amount: ,2
word: ,youhow, amount: ,1
word: ,perform, amount: ,3
word: ,machan, amount: ,4
word: ,onc, amount: ,33
word: ,free, amount: ,59
word: ,cool, amount: ,40
word: ,gentleman, amount: ,3
word: ,digniti, amount: ,3
word: ,respect, amount: ,4
word: ,peopl, amount: ,48
word: ,veri, amount: ,75
word: ,much, amount: ,112
word: ,shi, amount: ,2
word: ,pa, amount: ,32
word: ,oper, amount: ,1
word: ,after, amount: ,84
word: ,same, amount: ,48
word: ,job, amount: ,45
word: ,ta, amount: ,16
word: ,earn, amount: ,3
word: ,ah, amount: ,30
word: ,next, amount: ,46
word: ,stop, amount: ,45
word: ,network, amount: ,6
word: ,urgnt, amount: ,5
word: ,sm, amount: ,18
word: ,real, amount: ,24
word: ,yo, amount: ,36
word: ,ticket, amount: ,13
word: ,one, amount: ,170
word: ,jacket, amount: ,2
word: ,use, amount: ,60
word: ,multi, amount: ,1
word: ,start, amount: ,55
word: ,came, amount: ,26
word: ,bed, amount: ,32
word: ,coin, amount: ,6
word: ,factori, amount: ,1
word: ,cash, amount: ,13
word: ,nitro, amount: ,3
word: ,ela, amount: ,2
word: ,kanoil, amount: ,1
word: ,download, amount: ,11
word: ,wen, amount: ,24
word: ,stand, amount: ,11
word: ,close, amount: ,18
word: ,youll, amount: ,14
word: ,anoth, amount: ,35
word: ,night, amount: ,110
word: ,spent, amount: ,8
word: ,late, amount: ,57
word: ,afternoon, amount: ,28
word: ,casualti, amount: ,1
word: ,mean, amount: ,52
word: ,havent, amount: ,47
word: ,ani, amount: ,105
word: ,y, amount: ,42
word: ,stuffmoro, amount: ,1
word: ,includ, amount: ,5
word: ,sheet, amount: ,4
word: ,smile, amount: ,71
word: ,pleasur, amount: ,8
word: ,troubl, amount: ,8
word: ,pour, amount: ,3
word: ,rain, amount: ,15
word: ,sum, amount: ,5
word: ,hurt, amount: ,32
word: ,becoz, amount: ,4
word: ,someon, amount: ,46
word: ,plan, amount: ,58
word: ,buy, amount: ,71
word: ,lido, amount: ,3
word: ,show, amount: ,34
word: ,telugu, amount: ,1
word: ,moviewat, amount: ,1
word: ,abt, amount: ,26
word: ,load, amount: ,11
word: ,loan, amount: ,6
word: ,wk, amount: ,10
word: ,hol, amount: ,3
word: ,forgot, amount: ,31
word: ,hairdress, amount: ,1
word: ,appoint, amount: ,5
word: ,four, amount: ,2
word: ,shower, amount: ,13
word: ,beforehand, amount: ,1
word: ,caus, amount: ,21
word: ,prob, amount: ,18
word: ,uham, amount: ,1
word: ,pleas, amount: ,79
word: ,noth, amount: ,34
word: ,els, amount: ,23
word: ,okay, amount: ,26
word: ,price, amount: ,8
word: ,long, amount: ,42
word: ,legal, amount: ,4
word: ,them, amount: ,79
word: ,ave, amount: ,5
word: ,gone, amount: ,15
word: ,drive, amount: ,40
word: ,test, amount: ,27
word: ,yet, amount: ,48
word: ,guess, amount: ,35
word: ,gave, amount: ,10
word: ,boston, amount: ,5
word: ,men, amount: ,7
word: ,chang, amount: ,32
word: ,locat, amount: ,2
word: ,nyc, amount: ,4
word: ,cuz, amount: ,7
word: ,signin, amount: ,1
word: ,page, amount: ,10
word: ,umma, amount: ,7
word: ,life, amount: ,74
word: ,vava, amount: ,3
word: ,lot, amount: ,49
word: ,dear, amount: ,97
word: ,wish, amount: ,69
word: ,birthday, amount: ,35
word: ,truli, amount: ,2
word: ,memor, amount: ,1
word: ,aight, amount: ,33
word: ,hit, amount: ,12
word: ,some, amount: ,119
word: ,would, amount: ,72
word: ,ip, amount: ,1
word: ,address, amount: ,17
word: ,consid, amount: ,6
word: ,comput, amount: ,9
word: ,isnt, amount: ,20
word: ,minecraft, amount: ,1
word: ,server, amount: ,1
word: ,grumpi, amount: ,1
word: ,old, amount: ,18
word: ,better, amount: ,41
word: ,lie, amount: ,6
word: ,play, amount: ,27
word: ,busi, amount: ,20
