word: ,a, amount: ,378
word: ,ab, amount: ,1
word: ,aberdeen, amount: ,1
word: ,about, amount: ,7
word: ,abroad, amount: ,1
word: ,abta, amount: ,3
word: ,abus, amount: ,1
word: ,ac, amount: ,4
word: ,access, amount: ,8
word: ,accid, amount: ,2
word: ,accommod, amount: ,1
word: ,accommodationvouch, amount: ,1
word: ,accordingli, amount: ,1
word: ,account, amount: ,19
word: ,aclpm, amount: ,2
word: ,acoentri, amount: ,2
word: ,acsmsreward, amount: ,1
word: ,action, amount: ,4
word: ,activ, amount: ,8
word: ,acwicmbcktzr, amount: ,1
word: ,ad, amount: ,4
word: ,adam, amount: ,2
word: ,addamsfa, amount: ,2
word: ,address, amount: ,4
word: ,admir, amount: ,10
word: ,adp, amount: ,1
word: ,adrian, amount: ,1
word: ,adult, amount: ,4
word: ,advis, amount: ,3
word: ,advisor, amount: ,1
word: ,ae, amount: ,4
word: ,afraid, amount: ,1
word: ,after, amount: ,5
word: ,ag, amount: ,2
word: ,again, amount: ,3
word: ,age, amount: ,16
word: ,agent, amount: ,1
word: ,ageppermesssubscript, amount: ,1
word: ,agreen, amount: ,1
word: ,airport, amount: ,1
word: ,aj, amount: ,2
word: ,akonlon, amount: ,1
word: ,alert, amount: ,5
word: ,alertfrom, amount: ,1
word: ,alfi, amount: ,3
word: ,algarv, amount: ,2
word: ,all, amount: ,28
word: ,allow, amount: ,1
word: ,alon, amount: ,3
word: ,along, amount: ,1
word: ,alreadi, amount: ,1
word: ,also, amount: ,3
word: ,am, amount: ,14
word: ,amanda, amount: ,1
word: ,amaz, amount: ,3
word: ,ami, amount: ,1
word: ,among, amount: ,2
word: ,ampm, amount: ,12
word: ,an, amount: ,28
word: ,and, amount: ,122
word: ,anetwork, amount: ,1
word: ,ani, amount: ,25
word: ,anim, amount: ,1
word: ,annonc, amount: ,1
word: ,announc, amount: ,6
word: ,anonym, amount: ,1
word: ,anoth, amount: ,2
word: ,ansr, amount: ,4
word: ,answer, amount: ,8
word: ,anyon, amount: ,1
word: ,anytim, amount: ,12
word: ,aom, amount: ,2
word: ,app, amount: ,4
word: ,appli, amount: ,30
word: ,approx, amount: ,1
word: ,apr, amount: ,1
word: ,arcad, amount: ,6
word: ,are, amount: ,80
word: ,area, amount: ,8
word: ,ari, amount: ,1
word: ,around, amount: ,2
word: ,arrang, amount: ,2
word: ,arriv, amount: ,6
word: ,arrow, amount: ,1
word: ,arsen, amount: ,3
word: ,artist, amount: ,1
word: ,as, amount: ,33
word: ,asap, amount: ,6
word: ,asian, amount: ,1
word: ,ask, amount: ,6
word: ,at, amount: ,26
word: ,attempt, amount: ,22
word: ,auction, amount: ,16
word: ,august, amount: ,2
